ItemName,ItemPrice
Dole Chopped Salad Kit BBQ Ranch ,$3.59 
Dole Chopped Salad Kit Chipotle & Cheddar ,$3.59 
Dole Chopped Salad Kit Greek ,$3.59 
Dole Chopped Salad Kit Pomegranate ,$3.59 
Dole Chopped Salad Kit Sesame Asian ,$3.59 
Dole Chopped Salad Kit Sunflower Crunch ,$3.59 
Dole Classic Cole Slaw ,$1.99 
Dole Classic Romaine Salad Value Size ,$2.99 
Dole Classic Salad Kit Caesar Light ,
Dole Salad Baby Spinach ,
Dole Salad Baby Spinach (Clam Shell) ,$5.29 
Dole Salad Blend Field Greens All Natural ,
Dole Spinach All Natural ,
Eggplant Italian Baby ,$2.19 
Endive Lettuce French Belgian ,$1.00 
Ginger Root ,$0.75 
GreenLine Green Beans French Haricot Vert Trimmed ,$3.99 
Habanero Peppers Red ,$0.35 
Kale Greens Organic ,$3.99 
Love Beets Beets Cooked Organic ,$3.99 
Malanga Coco ,$1.49 
Mann's Family Favorites Broccoli Wokly Microwave Ready ,
Mann's Sugar Snap Peas Stringless ,
"
Nature's Promise Organic Cauliflower ",
"
Nature's Promise Organic Cranberry Walnut Salad ",$4.49 
"
Nature's Promise Organic Green Beans Low Sodium - 4 ct ",$2.69 
"
Nature's Promise Organic Kale ",
"
Nature's Promise Organic Salad Baby Butter Lettuce ",$3.49 
NatureSweet Tomatoes Cherubs ,$3.99 
Near East Tabouleh Salad Mix Whole Grain ,
Onions Yellow ,
Potatoes Yams (Golden) ,
Radishes Red ,$1.79 
Simply Spuds Steamables Fingerling Potatoes Microwavable ,$2.99 
"
Stop & Shop Baby Spinach Spring Mix ",
"
Stop & Shop Bell Peppers Rainbow ",
"
Stop & Shop Broccoli Florets ",$5.00 
"
Stop & Shop Broccoli Slaw ",$1.99 
"
Stop & Shop Classics Salad Mix ",$1.29 
"
Stop & Shop Collard Greens Shredded ",$3.99 
"
Stop & Shop Fresh Vegetables Brussels Sprouts Halved ",$8.79 
"
Stop & Shop Fresh Vegetables Medley Squash Noodle ",$6.99 
"
Stop & Shop Fresh Vegetables Yellow & Green Squash Noodles ",$5.00 
"
Stop & Shop Onions Red Diced ",$2.99 
"
Stop & Shop Onions Yellow Diced ",$2.99 
"
Stop & Shop Potatoes Red Baby All Natural ",$3.99 
"
Stop & Shop Salad Bowl Spinach Dijon ",$3.50 
"
Stop & Shop Yellow Onions ",
"
Store Brand Garlic Peeled All Natural ",$2.99 
Sunset Tomatoes Angel Sweet ,
Sunset Tomatoes Kumato Brown ,$3.99 
Sunset Wild Wonders Gourmet Medley Tomatoes ,
Sweet Potatoes Organic ,
Tasti-Lee Tomatoes Premium Vine-Ripened ,$3.99 
Tomatoes Greenhouse ,$1.79 
Turnips Purple Top ,$2.01 
Zucchini Squash ,$1.00 
Acorn Squash ,$2.20 
Asparagus ,
AuerPak Ginger Organic ,$2.49 
Badia Garlic Minced in Olive Oil ,$2.69 
Badia Roasted Garlic ,$3.99 
Beets Organic ,$3.99 
Bok Choy ,$2.49 
Boston Living Lettuce ,$2.99 
Brussels Sprouts ,$5.99 
Butterhead Lettuce ,$2.99 
Butternut Squash Cubed ,$2.99 
Cabbage Napa ,$3.36 
Cabbage Red ,$1.29 
Carrots ,$1.99 
Carrots ,
Carrots Organic ,$0.99 
Cauliflower ,$4.29 
Celery Hearts ,
Chayote Squash ,$0.99 
Cleveland Kraut Beet Red ,$5.99 
Cleveland Kraut Classic Caraway ,$5.99 
Cleveland Kraut Roasted Garlic ,$5.99 
Collard Greens Organic ,$3.99 
Country Fresh Creations Baby Bellas Stuffed Garlic & Four Cheese - 6 ct ,$5.00 
Country Fresh Stuffed Mushrooms - 5 ct ,$5.00 
Cubanelle Peppers Italian ,$4.99 
Cucumbers Mini ,
Cucumbers Mini Pickle - 4-5 ct ,$2.99 
Cucumbers Seedless ,
Cucumbers Seedless Organic ,$2.50 
Dole Bountiful Kit Fiesta Ranch ,$3.99 
Dole Bountiful Kit Sweet Thai ,$3.99 
Dole Classic Salad Kit Creamy Cole Slaw ,$1.99 
Dole Fresh Spring Mix ,
Dole Premium Salad Kit Country Ranch ,$3.59 
Dole Premium Salad Kit Creamy Balsamic ,$3.59 
Dole Premium Salad Kit Endless Summer ,$3.59 
Dole Premium Salad Kit Southwest Salad ,$3.59 
Dole Premium Salad Kit Spinach Miso Crunch ,$3.59 
Dole Premium Salad Kit Ultimate Caesar ,$3.59 
Dole Salad Blend American ,
Dole Salad Blend Greener Selection ,
Dole Salad Blend Spring Mix All Natural ,$5.29 
Dole Salad Hearts of Romaine ,
Dynasty Shiitake Mushrooms Dried Black ,$3.19 
Eat Smart Petite Brussels Sprouts Mild Flavor ,$3.99 
Edamame Soybeans Shelled All Natural Fresh ,$4.99 
Express Bake PotatOH! Microwave ,$1.50 
Fresh From The Start Premium Yellow Onions ,
fresh Yam ,$1.99 
Garlic Bulb - 5 ct ,$2.29 
Gourmet Garden Garlic Stir-In Paste ,$4.49 
Gourmet Garden Ginger Paste ,$4.49 
Goya Garlic Chopped ,$5.99 
Goya Garlic Minced ,$3.69 
Green Leaf Lettuce ,$1.99 
Green Leaf Lettuce Organic ,$2.99 
"
Guaranteed Value Tomatoes - 4 ct ",$2.99 
Hydroponic Lettuce ,$4.99 
Iceberg Lettuce Organic ,$2.99 
Italian Cubanelle Peppers ,$1.33 
Jonathon's Sprouts Chinese Mung Bean Sprouts Organic ,$1.99 
La Fe Yuca ,$1.89 
Leeks ,$2.99 
Little Leaf Farms Baby Crispy Green Leaf Lettuce ,$3.50 
Little Leaf Farms Baby Red & Green Leaf ,$3.50 
Little Leaf Farms Baby Spring Mix ,$3.50 
Love Beets Beets Baby Infused with Honey & Ginger ,$3.99 
Love Beets Beets Cooked ,$3.19 
Love Beets Beets Dipped in Fine Mild Vinegar ,$3.99 
Mann's Cauliflower Rice Gluten Free ,$2.99 
Mann's Family Favorites Broccoli Wokly ,$5.49 
Mann's Sugar Snap Peas Stringless ,$3.99 
"
Nature's Promise Organic Baby Arugula ",$3.49 
"
Nature's Promise Organic Baby Spinach & Kale ",$3.49 
"
Nature's Promise Organic Baby Spinach & Spring Mix ",$5.00 
"
Nature's Promise Organic Baby Spinach & Spring Mix ",$3.49 
"
Nature's Promise Organic Bell Pepper Green ",$2.50 
"
Nature's Promise Organic Bell Pepper Red ",$2.50 
"
Nature's Promise Organic Broccoli Florets Fresh ",$5.49 
"
Nature's Promise Organic Carrots ",$3.99 
"
Nature's Promise Organic Carrots Baby ",$1.99 
"
Nature's Promise Organic Fresh Vegetables Butternut Squash Noodles ",$5.49 
"
Nature's Promise Organic Fresh Vegetables Cauliflower Rice ",$5.49 
"
Nature's Promise Organic Grape Tomatoes ",$3.99 
"
Nature's Promise Organic Medley Squash ",$5.49 
"
Nature's Promise Organic Onions Yellow ",$4.99 
"
Nature's Promise Organic Portabella Mushrooms Whole ",$3.49 
"
Nature's Promise Organic Potatoes Red Baby ",$4.99 
"
Nature's Promise Organic Potatoes Yellow ",$4.99 
"
Nature's Promise Organic Power Blend Mix ",$3.49 
"
Nature's Promise Organic Romaine Hearts Lettuce ",$4.99 
"
Nature's Promise Organic Russet Potatoes ",$4.99 
"
Nature's Promise Organic Salad Bowl Chicken with Spinach ",$4.49 
"
Nature's Promise Organic Salad Bowl Cranberry Walnut ",$4.49 
"
Nature's Promise Organic Salad Bowl Southwest Style ",$4.49 
"
Nature's Promise Organic Salad Spinach ",$3.49 
"
Nature's Promise Organic Southwest Style Salad ",$4.49 
"
Nature's Promise Organic Spring Mix ",$5.00 
"
Nature's Promise Organic Spring Mix ",$3.49 
"
Nature's Promise Organic Spring Mix & Baby Kale ",$3.49 
"
Nature's Promise Organic Sweet Baby Lettuce ",$3.49 
"
Nature's Promise Organic White Mushrooms Sliced ",$2.99 
"
Nature's Promise Organic Whole White Mushrooms ",$2.99 
"
Nature's Promise Organic Zucchini ",$2.50 
"
Nature's Promise Organics Garlic Minced in Water ",$2.49 
NatureSweet Comets Tomatoes ,$3.99 
NewStar Cooking with Spinach Classic Spinach ,$3.99 
NewStar Cooking with Spinach Power Greens ,$3.99 
Olivia's Organics Microwave Spinach ,$3.99 
Onions Boiling ,$2.50 
Onions Red ,$1.24 
Onions Sweet ,$1.19 
Onions Vidalia (Sweet) ,$0.99 
Onions Yellow Organic ,$4.99 
Parsnips ,$2.49 
Pastene Garlic Minced ,$2.69 
Pero Family Farms Okra Fancy Freshwrap ,$5.00 
Pete's Garden Grape Tomatoes Organic ,$3.99 
Poblano Peppers ,$0.35 
Portabella Mushrooms Sliced Organic ,$3.49 
Potatoes Gold ,
Potatoes Red ,$0.74 
Potatoes Red ,
Potatoes Red Baby Bliss ,$3.49 
Potatoes Russet ,
Potatoes Yukon Gold ,
Pumpkins Mini ,$1.00 
Radishes White Daikon ,$1.49 
Ready Pac Bistro Salad Kit with Grilled Chicken Bacon Caesar ,$5.99 
Ready Pac Bistro Salad Kit with Grilled Chicken Santa Fe Style ,$5.99 
Red Leaf Lettuce ,$1.99 
Red Leaf Lettuce Organic ,$2.99 
Red Sun Farms Artisan Series Cherry Tomatoes on the Vine ,$3.99 
Romaine Lettuce ,$1.99 
Romaine Lettuce Organic ,$2.99 
Rutabagas (Yellow Turnips) ,$1.30 
Shiitake Mushrooms Sliced ,$3.99 
Simply Spuds Steamables Potatoes Red Microwave Ready Bag ,$2.99 
Simply Spuds Steamables Sweet Potatoes Petite Microwavable ,$2.99 
Spice World Garlic Minced Squeeze ,$3.99 
Squash Butternut ,$2.20 
"
Stop & Shop Baby Bella Mushrooms Sliced ",$3.99 
"
Stop & Shop Baby Bella Mushrooms Sliced ",
"
Stop & Shop Baby Bella Mushrooms Whole ",
"
Stop & Shop Baby Carrots Cut Peeled ",$1.69 
"
Stop & Shop Baby Medley Potatoes ",$3.99 
"
Stop & Shop Baby Red Potatoes ",$3.49 
"
Stop & Shop Basics Salad Baby Spinach ",
"
Stop & Shop Bell Peppers Green ",$3.99 
"
Stop & Shop Bell Peppers Green Diced Fresh ",$3.29 
"
Stop & Shop Bell Peppers Red ",$4.99 
"
Stop & Shop Caesar Salad with Chicken ",$5.99 
"
Stop & Shop Carrots ",$3.29 
"
Stop & Shop Carrots Peeled Baby Cut ",
"
Stop & Shop Cauliflower & Broccoli Rice ",$5.00 
"
Stop & Shop Cauliflower Rice ",$5.00 
"
Stop & Shop Celery Hearts ",
"
Stop & Shop Chef Salad with Ham & Turkey ",$5.99 
"
Stop & Shop Chopped Salad Singles Bowl Kickin' BBQ Style ",$3.50 
"
Stop & Shop Chopped Salad Singles Italian Style ",$3.50 
"
Stop & Shop Cobb Salad with Chicken & Bacon ",$5.99 
"
Stop & Shop Cucumbers Mini Organic ",$4.99 
"
Stop & Shop Deli Superfood Kale Salad with Walnuts ",$4.00 
"
Stop & Shop Fresh Vegetables Brussels Sprouts Halved ",$8.79 
"
Stop & Shop Fresh Vegetables Butternut Squash Chunks Cinnamon Spiced ",$5.00 
"
Stop & Shop Fresh Vegetables Green Squash Noodles ",$6.99 
"
Stop & Shop Fresh Vegetables Green Squash Noodles ",$5.00 
"
Stop & Shop Fresh Vegetables Sugar Snap Peas ",$5.00 
"
Stop & Shop Fresh Vegetables Yellow Turnip Chunks ",$5.00 
"
Stop & Shop Garlic Chopped in Water ",$2.99 
"
Stop & Shop Garlic Chopped in Water ",$1.99 
"
Stop & Shop Garlic Minced in Water ",$5.99 
"
Stop & Shop Garlic Minced in Water ",$1.99 
"
Stop & Shop Greek Style Salad ",$5.99 
"
Stop & Shop Green & Yellow Squash Chunks ",$5.00 
"
Stop & Shop Kale Greens ",
"
Stop & Shop Kale Greens ",$3.99 
"
Stop & Shop Medley Squash ",$5.00 
"
Stop & Shop Oyster Mushrooms ",$2.99 
"
Stop & Shop Portabella Mushrooms Whole Cap ",$3.49 
"
Stop & Shop Portabella Mushrooms Whole Cap - 4 ct ",$5.99 
"
Stop & Shop Potatoes All-Purpose White ",$3.99 
"
Stop & Shop Potatoes Baby Gold ",$3.49 
"
Stop & Shop Premium Salad American Blend ",
"
Stop & Shop Premium Salad Chopped Romaine ",
"
Stop & Shop Premium Salad Salad Mix ",$2.49 
"
Stop & Shop Premium Salad Spring Mix ",
"
Stop & Shop Romaine Hearts Lettuce ",$3.99 
"
Stop & Shop Russet Potatoes ",
"
Stop & Shop Salad Blends Butter Lettuce ",
"
Stop & Shop Salad Bowl Chef ",$3.50 
"
Stop & Shop Salad Bowl Chicken Caesar ",$3.50 
"
Stop & Shop Salad Bowl Santa Fe ",$3.50 
"
Stop & Shop Salad Bowl Turkey & Bacon Cobb ",$3.50 
"
Stop & Shop Shiitake Mushrooms Sliced ",$3.99 
"
Stop & Shop Snow Peas ",$5.00 
"
Stop & Shop Southwest Style Salad with Chicken ",$5.99 
"
Stop & Shop Spinach Triple Washed ",$1.99 
"
Stop & Shop Sweet Peppers Mini ",$5.99 
"
Stop & Shop White Mushrooms For Stuffing ",$3.49 
"
Stop & Shop White Mushrooms Sliced ",$3.99 
"
Stop & Shop White Sliced Mushrooms ",
"
Stop & Shop White Whole Mushrooms ",
"
Stop & Shops Snow Peas ",$3.99 
"
Store Brand Sweet Potato Microwavable ",$1.50 
Sunset Angel Sweet Tomatoes Organic ,$4.99 
Sunset Bell Peppers Rainbow ,
Sunset Inspired by Flavor Mini Cucumbers ,
Sunset Sprinkles Tiny Mighty Tomatoes ,$2.99 
Sunset Sweet Peppers Mini ,$5.99 
Sunset Tomatoes One Sweet ,
Sweet Peppers Mini Organic ,$4.99 
Tasteful Selections Honey Gold Bite-Size Potatoes ,
Tasteful Selections Ruby Sensation Bite-Size Potatoes Gluten Free ,
"
Tasteful Selections Sunrise Medley Bite-Size Potatoes Gluten Free ",
Taylor Farms Asian Chopped Kit with Asian Style Sesame Dressing ,$3.99 
Taylor Farms Chopped Salad Kit Avocado Ranch ,$3.99 
Taylor Farms Red Cabbage Shredded ,$1.49 
Taylor Farms Sweet Kale Chopped Kit with Poppyseed Dressing ,$3.99 
Tomatillos - apx 4-5 ct ,$1.89 
Tomatoes Grape ,$3.49 
Tomatoes Kumato ,$3.99 
Tomatoes Vine-Ripened Large ,$1.19 
Tomatoes Yellow ,$3.99 
Turnip Greens ,
Veggie Wash Fruit & Vegetable Wash All Natural ,$5.49 
Wel-Pac Ginger Sushi Shoga Sliced ,$5.99 
Yellow Squash Organic ,$2.50 
Apples Jazz ,$1.24 
Apples Gala ,$0.50 
Avocados Hass ,$1.66 
Oranges Navel ,$1.00 
Bananas Organic - 4-7 ct ,$2.76 
Cantaloupe ,$3.99 
Apples Granny Smith ,$0.94 
"
Stop & Shop Fresh Cut Strawberries & Blueberries ",$3.50 
Pineapple Golden Whole ,$2.00 
Bananas Green (Minimum 4-6 ct) ,$1.47 
Bananas Yellow (Minimum 4-6 ct) ,$1.47 
Passion Fruit ,$1.99 
Strawberries ,$3.99 
Apples Honeycrisp Organic ,$2.00 
Limes ,$0.66 
"
Stop & Shop Mixed Fruit Cup ",$3.44 
Apples Macoun ,$0.64 
Coconut ,$1.99 
Green Grapes Seedless ,$2.99 
Pears Apple Brown Asian ,$1.66 
"
Stop & Shop Kiwi Slices ",$3.59 
Apples Braeburn ,$1.00 
Apples Empire ,$0.67 
Apples Golden Delicious ,$3.99 
Apples Honeycrisp ,$1.24 
Dole Tropical Fruit in 100% Fruit Juice ,$2.89 
"
Nature's Promise Organic Apples Fuji ",$0.90 
Papaya Maradol ,$3.72 
"
Stop & Shop Strawberries Sliced Fresh ",$3.50 
"
Stop & Shop Watermelon Chunks ",$2.50 
Apples Cortland ,$0.45 
Apples Fuji Organic ,$5.99 
Apples Gala ,$3.99 
Apples McIntosh ,$0.67 
Avocados Hass Ripe (Ready to Eat) ,$1.66 
Dole Harvest Best Mandarin Oranges in 100% Fruit Juice ,$3.49 
Honeydew Melon ,$4.99 
"
Nature's Promise Organic Apples Red Delicious ",$0.90 
Red Grapes Seedless Organic ,$5.99 
"
Stop & Shop Apple Green Slices ",$3.99 
"
Stop & Shop Cantaloupe Chunks ",$4.99 
"
Stop & Shop Mixed Fruit Large Fresh ",$4.99 
Apples Red Delicious Tote Bag ,$3.96 
Avocados Hass ,$3.99 
Avocados Hass Organic ,$6.99 
Blackberries ,$5.00 
Blueberries ,$5.00 
Del Monte Fruit Naturals Grapefruit Red No Sugar Added ,$1.50 
Dole Peaches Yellow Cling Sliced in 100% Fruit Juice ,$3.49 
Dole Pineapple Chunks in 100% Pineapple Juice ,$2.89 
Figs Clamshell ,$4.99 
Kiwi Fruit ,$0.79 
Kiwi Fruit Value Pack ,$5.00 
Limes Key ,$2.99 
Mango Spears ,$10.49 
"
Nature's Promise Organic Apples Fuji ",$5.99 
"
Nature's Promise Organic Apples Golden Delicious ",$1.99 
"
Nature's Promise Organic Apples Golden Delicious ",$4.99 
"
Nature's Promise Organic Apples Granny Smith ",$4.99 
"
Nature's Promise Organic Mango Chunks ",$5.99 
"
Nature's Promise Organic Pineapple Chunks ",$5.99 
Pears Forelle ,$0.88 
Persimmons Fuyu ,$2.00 
Raspberries ,$3.99 
Raspberries Organic ,$4.99 
"
Stop & Shop Apple Red Slices - 6 pk ",$3.99 
"
Stop & Shop Apples Green Slices ",$4.99 
"
Stop & Shop Apples Red Slices ",$4.99 
"
Stop & Shop Grapefruit Red ",$5.99 
"
Stop & Shop Honeydew Melon Chunks ",$3.14 
"
Stop & Shop Limes ",$4.99 
"
Stop & Shop Pineapple Chunks Large ",$4.99 
"
Stop & Shop Pineapple Chunks Small ",$2.50 
"
Stop & Shop Watermelon Chunks Large ",$4.99 
"
Stop & Shop Watermelon Spears ",$6.99 
Strawberry Kiwi Cut Cup ,$5.99 
USDA Fresh Mango Spears ,$7.99 
Apples Cortland ,$3.99 
Apples Envy ,$1.12 
Apples Gala Tote Bag ,$3.96 
Apples Granny Smith ,$5.29 
Apples Macoun ,$3.99 
Apples McIntosh ,$3.99 
Apples Red Delicious ,$3.99 
Apples Red Delicious ,$1.11 
Apples Red Delicious Organic ,$4.99 
Avocados Florida ,$2.50 
Avocados Mini Organic ,$5.99 
Black Grapes Seedless ,$2.49 
Blackberries ,$2.50 
Blackberries ,$2.50 
Blackberries Organic ,$4.99 
Blueberries Organic ,$2.99 
Chelan Fresh Apples Honeycrisp ,$5.99 
Choice Farms Grilling Pineapple Rings ,$4.99 
Clementines (Mandarins) ,$5.99 
Concord Foods Caramel Apple Wrap - 5 ct ,$2.99 
Cotton Candy Grapes ,$4.99 
Del Monte Fruit Crunch Parfait Blueberry ,$2.49 
Del Monte Fruit Crunch Parfait Strawberry ,$2.49 
Del Monte Fruit Naturals Bartlett Pear Chunks ,$1.50 
Del Monte Fruit Naturals Grapefruit Red in Extra Light Syrup ,$1.50 
Del Monte Fruit Naturals Mandarin Oranges in Extra Light Syrup ,$1.50 
Del Monte Fruit Naturals Mango Chunks in Extra Light Syrup ,$1.50 
Del Monte Fruit Naturals Peach Yellow Cling Chunks in Extra Light Syrup ,$1.50 
Del Monte Fruit Naturals Peach Yellow Cling Chunks No Sugar Added ,$1.50 
Del Monte Pineapple Cored ,$4.99 
Del Monte SunFresh Grapefruit Red Artificially Sweetened No Sugar Added ,$8.99 
Del Monte SunFresh Grapefruit Red in Extra Light Syrup ,$8.99 
Driscoll's Sweetest Batch Blueberries Limited Edition ,$5.99 
Ferbar Coconut ,$2.99 
"
Giant Apples Golden Delicious ",$3.99 
Grapes Mix of Red & Green ,$6.99 
Green Grapes Seedless Organic ,$5.99 
La Fe Maracuya Parcha Pulp ,$2.39 
Lemons ,$4.99 
Lemons ,$0.79 
Lemons Organic - 3 ct ,$2.99 
Mandarins ,$5.99 
Mangos ,$1.00 
"
Nature's Promise Organic Apple Red Slices - 6 ct ",$4.99 
"
Nature's Promise Organic Apples Gala ",$5.99 
"
Nature's Promise Organic Apples Red Delicious ",$4.99 
"
Nature's Promise Organic Red Grapes Seedless ",$5.99 
"
Nature's Promise Organic Strawberry & Blueberries ",$5.49 
Ocean Spray Premium Cranberries Fresh ,$2.00 
Oranges Organic ,$6.99 
Oranges Sour ,$0.79 
Peaches Saturn (Donut) ,$0.93 
Pears Anjou ,$0.45 
Pears Bartlett ,$0.45 
Pears Comice ,$1.23 
Pears Green Organic ,$3.99 
Persimmon American ,$2.00 
Pineapple Golden Rings ,$2.99 
Pineapple Spears ,$4.99 
Plantain (Platano) ,$0.33 
Plums ,$0.60 
POM POMS Wonderful Arils (Pomegranate Seeds) Fresh ,$5.00 
POM Wonderful Pomegranate Arils (Pomegranate Seeds) Ready To Eat ,$3.50 
Raspberries ,$5.99 
Star Fruit ,$2.00 
Stemilt Artisan Lil' Snappers Pears D'Anjou Organic ,$3.99 
"
Stop & Shop Apples Empire ",$3.99 
"
Stop & Shop Apples Honeycrisp ",$5.99 
"
Stop & Shop Coconut Chunks ",$4.99 
"
Stop & Shop Cranberries ",$4.99 
"
Stop & Shop Pineapple Chunks Family Size ",$4.49 
"
Stop & Shop Strawberry Kiwi Parfait Cup ",$5.99 
Strawberries Organic ,$5.99 
Sweet Tamarind Fresh ,$4.99 
Tangerines ,$0.66 
Tastee Apple Caramel with Jimmies ,$1.50 
Veggie Wash Fruit & Vegetable Wash All Natural ,$5.49 
Watermelon Personal Size ,$4.99 
Watermelon Seedless Whole ,$7.99 
Wild Fall Caramel Apples with Sprinkles ,$3.99 
Zespri Sungold Kiwi ,$2.99 
